Year,Age Group,Disease,Nationality,Cases
2013,45-49,Viral Hepatitis C,National,17
2013,45-49,Viral Meningitis,National,Null
2013,45-49,Whooping Cough,National,Null
2013,50-54,Acute Encephalitis,National,1
2013,50-54,Acute Flaccid Paralysis,National,Null
2013,50-54,Brucellosis,National,1
2013,50-54,Chickenpox,National,1
2013,50-54,Extra Pulmonary Tuberculosis,National,1
2013,50-54,Giardia Lambia,National,1
2013,50-54,Gonorrhoea,National,3
2013,50-54,Malaria,National,1
2013,50-54,Measles,National,Null
2013,50-54,Mumps,National,Null
2013,50-54,Other,National,4
2013,50-54,Other Food Poisoning,National,1
2013,50-54,Other STD,National,1
2013,50-54,Other Viral Hepatitis,National,Null
2013,50-54,Pulmonary Tuberculosis,National,3
2013,50-54,Rubella,National,Null
2013,50-54,Scabies,National,4
2013,50-54,Scarlet  Fever,National,Null
2013,50-54,Seasonal Influenza,National,1
2013,50-54,Syphilis,National,Null
2013,50-54,Tetanus,National,Null
2013,50-54,Typhoid Fever,National,Null
2013,50-54,Viral Hepatitis A,National,1
2013,50-54,Viral Hepatitis B,National,5
2013,50-54,Viral Hepatitis C,National,5
2013,50-54,Viral Meningitis,National,Null
2013,50-54,Whooping Cough,National,Null
2013,55-59,Acute Encephalitis,National,Null
2013,55-59,Acute Flaccid Paralysis,National,Null
2013,55-59,Brucellosis,National,1
2013,55-59,Chickenpox,National,1
2013,55-59,Extra Pulmonary Tuberculosis,National,1
2013,55-59,Giardia Lambia,National,Null
2013,55-59,Gonorrhoea,National,Null
2013,55-59,Malaria,National,Null
2013,55-59,Measles,National,Null
2013,55-59,Mumps,National,Null
2013,55-59,Other,National,7
2013,55-59,Other Food Poisoning,National,2
2013,55-59,Other STD,National,Null
2013,55-59,Other Viral Hepatitis,National,Null
2013,55-59,Pulmonary Tuberculosis,National,2
2013,55-59,Rubella,National,Null
2013,55-59,Scabies,National,2
2013,55-59,Scarlet  Fever,National,Null
2013,55-59,Seasonal Influenza,National,1
2013,55-59,Syphilis,National,2
2013,55-59,Tetanus,National,Null
2013,55-59,Typhoid Fever,National,Null
2013,55-59,Viral Hepatitis A,National,Null
2013,55-59,Viral Hepatitis B,National,8
2013,55-59,Viral Hepatitis C,National,12
2013,55-59,Viral Meningitis,National,Null
2013,55-59,Whooping Cough,National,Null
2013,60-64,Acute Encephalitis,National,Null
2013,60-64,Acute Flaccid Paralysis,National,Null
2013,60-64,Brucellosis,National,Null
2013,60-64,Chickenpox,National,0
2013,60-64,Extra Pulmonary Tuberculosis,National,Null
2013,60-64,Giardia Lambia,National,Null
2013,60-64,Gonorrhoea,National,Null
2013,60-64,Malaria,National,Null
2013,60-64,Measles,National,Null
2013,60-64,Mumps,National,Null
2013,60-64,Other,National,3
2013,60-64,Other Food Poisoning,National,Null
2013,60-64,Other STD,National,Null
2013,60-64,Other Viral Hepatitis,National,Null
2013,60-64,Pulmonary Tuberculosis,National,1
2013,60-64,Rubella,National,Null
2013,60-64,Scabies,National,4
2013,60-64,Scarlet  Fever,National,Null
2013,60-64,Seasonal Influenza,National,5
2013,60-64,Syphilis,National,Null
2013,60-64,Tetanus,National,Null
2013,60-64,Typhoid Fever,National,Null
2013,60-64,Viral Hepatitis A,National,Null
2013,60-64,Viral Hepatitis B,National,3
2013,60-64,Viral Hepatitis C,National,5
2013,60-64,Viral Meningitis,National,Null
2013,60-64,Whooping Cough,National,Null
2013,65+,Acute Encephalitis,National,Null
2013,65+,Acute Flaccid Paralysis,National,Null
2013,65+,Brucellosis,National,2
2013,65+,Chickenpox,National,0
2013,65+,Extra Pulmonary Tuberculosis,National,4
2013,65+,Giardia Lambia,National,Null
2013,65+,Gonorrhoea,National,Null
2013,65+,Malaria,National,Null
2013,65+,Measles,National,Null
2013,65+,Mumps,National,Null
2013,65+,Other,National,9
2013,65+,Other Food Poisoning,National,3
2013,65+,Other STD,National,Null
2013,65+,Other Viral Hepatitis,National,Null
2013,65+,Pulmonary Tuberculosis,National,8
2013,65+,Rubella,National,Null
2013,65+,Scabies,National,4
2013,65+,Scarlet  Fever,National,Null
2013,65+,Seasonal Influenza,National,10
2013,65+,Syphilis,National,2
2013,65+,Tetanus,National,Null
2013,65+,Typhoid Fever,National,Null
2013,65+,Viral Hepatitis A,National,Null
2013,65+,Viral Hepatitis B,National,13
2013,65+,Viral Hepatitis C,National,8
2013,65+,Viral Meningitis,National,Null
2013,65+,Whooping Cough,National,Null
2014,0-4,Acute Encephalitis,Expatriate,0
2014,0-4,Acute Flaccid Paralysis,Expatriate,2
2014,0-4,Brucellosis,Expatriate,0
2014,0-4,Chickenpox,Expatriate,379
2014,0-4,Extra Pulmonary Tuberculosis,Expatriate,2
2014,0-4,Giardia Lambia,Expatriate,10
2014,0-4,Gonorrhoea,Expatriate,0
2014,0-4,Malaria,Expatriate,28
2014,0-4,Measles,Expatriate,39
2014,0-4,Mumps,Expatriate,26
2014,0-4,Other,Expatriate,415
2014,0-4,Other Food Poisoning,Expatriate,43
2014,0-4,Other STD,Expatriate,0
2014,0-4,Other Viral Hepatitis,Expatriate,0
2014,0-4,Pulmonary Tuberculosis,Expatriate,1
2014,0-4,Rubella,Expatriate,2
2014,0-4,Scabies,Expatriate,65
2014,0-4,Scarlet  Fever,Expatriate,49
2014,0-4,Seasonal Influenza,Expatriate,340
2014,0-4,Syphilis,Expatriate,0
2014,0-4,Tetanus,Expatriate,0
2014,0-4,Typhoid Fever,Expatriate,23
2014,0-4,Viral Hepatitis A,Expatriate,27
2014,0-4,Viral Hepatitis B,Expatriate,0
2014,0-4,Viral Hepatitis C,Expatriate,2
2014,0-4,Viral Meningitis,Expatriate,7
2014,0-4,Whooping Cough,Expatriate,5
2014,5-9,Acute Encephalitis,Expatriate,Null
2014,5-9,Acute Flaccid Paralysis,Expatriate,2
2014,5-9,Brucellosis,Expatriate,0
2014,5-9,Chickenpox,Expatriate,533
2014,5-9,Extra Pulmonary Tuberculosis,Expatriate,1
2014,5-9,Giardia Lambia,Expatriate,0
2014,5-9,Gonorrhoea,Expatriate,0
2014,5-9,Malaria,Expatriate,28
2014,5-9,Measles,Expatriate,6
2014,5-9,Mumps,Expatriate,39
2014,5-9,Other,Expatriate,80
2014,5-9,Other Food Poisoning,Expatriate,16
2014,5-9,Other STD,Expatriate,0
2014,5-9,Other Viral Hepatitis,Expatriate,0
2014,5-9,Pulmonary Tuberculosis,Expatriate,0
2014,5-9,Rubella,Expatriate,0
2014,5-9,Scabies,Expatriate,42
2014,5-9,Scarlet  Fever,Expatriate,62
2014,5-9,Seasonal Influenza,Expatriate,144
2014,5-9,Syphilis,Expatriate,0
2014,5-9,Tetanus,Expatriate,0
2014,5-9,Typhoid Fever,Expatriate,14
2014,5-9,Viral Hepatitis A,Expatriate,43
2014,5-9,Viral Hepatitis B,Expatriate,1
2014,5-9,Viral Hepatitis C,Expatriate,1
2014,5-9,Viral Meningitis,Expatriate,0
2014,5-9,Whooping Cough,Expatriate,1
2014,10-14,Acute Encephalitis,Expatriate,1
2014,10-14,Acute Flaccid Paralysis,Expatriate,0
2014,10-14,Brucellosis,Expatriate,0
2014,10-14,Chickenpox,Expatriate,201
2014,10-14,Extra Pulmonary Tuberculosis,Expatriate,1
2014,10-14,Giardia Lambia,Expatriate,1
2014,10-14,Gonorrhoea,Expatriate,0
2014,10-14,Malaria,Expatriate,12
2014,10-14,Measles,Expatriate,10
2014,10-14,Mumps,Expatriate,11
2014,10-14,Other,Expatriate,37
2014,10-14,Other Food Poisoning,Expatriate,13
2014,10-14,Other STD,Expatriate,0
2014,10-14,Other Viral Hepatitis,Expatriate,0
2014,10-14,Pulmonary Tuberculosis,Expatriate,1
2014,10-14,Rubella,Expatriate,1
2014,10-14,Scabies,Expatriate,53
2014,10-14,Scarlet  Fever,Expatriate,5
2014,10-14,Seasonal Influenza,Expatriate,63
2014,10-14,Syphilis,Expatriate,1
2014,10-14,Tetanus,Expatriate,0
2014,10-14,Typhoid Fever,Expatriate,9
2014,10-14,Viral Hepatitis A,Expatriate,25
2014,10-14,Viral Hepatitis B,Expatriate,1
2014,10-14,Viral Hepatitis C,Expatriate,1
2014,10-14,Viral Meningitis,Expatriate,4
2014,10-14,Whooping Cough,Expatriate,0
2014,15-19,Acute Encephalitis,Expatriate,0
2014,15-19,Acute Flaccid Paralysis,Expatriate,0
2014,15-19,Brucellosis,Expatriate,0
2014,15-19,Chickenpox,Expatriate,81
2014,15-19,Extra Pulmonary Tuberculosis,Expatriate,4
2014,15-19,Giardia Lambia,Expatriate,0
2014,15-19,Gonorrhoea,Expatriate,1
2014,15-19,Malaria,Expatriate,111
2014,15-19,Measles,Expatriate,3
2014,15-19,Mumps,Expatriate,3
2014,15-19,Other,Expatriate,18
2014,15-19,Other Food Poisoning,Expatriate,8
2014,15-19,Other STD,Expatriate,2
2014,15-19,Other Viral Hepatitis,Expatriate,0
2014,15-19,Pulmonary Tuberculosis,Expatriate,5
2014,15-19,Rubella,Expatriate,0
2014,15-19,Scabies,Expatriate,32
2014,15-19,Scarlet  Fever,Expatriate,0
2014,15-19,Seasonal Influenza,Expatriate,13
2014,15-19,Syphilis,Expatriate,0
2014,15-19,Tetanus,Expatriate,0
2014,15-19,Typhoid Fever,Expatriate,8
2014,15-19,Viral Hepatitis A,Expatriate,15
2014,15-19,Viral Hepatitis B,Expatriate,11
2014,15-19,Viral Hepatitis C,Expatriate,2
2014,15-19,Viral Meningitis,Expatriate,0
2014,15-19,Whooping Cough,Expatriate,0
2014,20-24,Acute Encephalitis,Expatriate,0
2014,20-24,Acute Flaccid Paralysis,Expatriate,0
2014,20-24,Brucellosis,Expatriate,3
2014,20-24,Chickenpox,Expatriate,550
2014,20-24,Extra Pulmonary Tuberculosis,Expatriate,22
2014,20-24,Giardia Lambia,Expatriate,8
2014,20-24,Gonorrhoea,Expatriate,2
2014,20-24,Malaria,Expatriate,615
2014,20-24,Measles,Expatriate,7
2014,20-24,Mumps,Expatriate,4
2014,20-24,Other,Expatriate,54
2014,20-24,Other Food Poisoning,Expatriate,18
2014,20-24,Other STD,Expatriate,12
2014,20-24,Other Viral Hepatitis,Expatriate,2
2014,20-24,Pulmonary Tuberculosis,Expatriate,38
2014,20-24,Rubella,Expatriate,2
2014,20-24,Scabies,Expatriate,206
2014,20-24,Scarlet  Fever,Expatriate,0
2014,20-24,Seasonal Influenza,Expatriate,48
2014,20-24,Syphilis,Expatriate,13
2014,20-24,Tetanus,Expatriate,0
2014,20-24,Typhoid Fever,Expatriate,23
2014,20-24,Viral Hepatitis A,Expatriate,10
2014,20-24,Viral Hepatitis B,Expatriate,51
2014,20-24,Viral Hepatitis C,Expatriate,17
2014,20-24,Viral Meningitis,Expatriate,4
2014,20-24,Whooping Cough,Expatriate,0
2014,25-29,Acute Encephalitis,Expatriate,0
2014,25-29,Acute Flaccid Paralysis,Expatriate,0
2014,25-29,Brucellosis,Expatriate,3
2014,25-29,Chickenpox,Expatriate,907
2014,25-29,Extra Pulmonary Tuberculosis,Expatriate,57
2014,25-29,Giardia Lambia,Expatriate,21
2014,25-29,Gonorrhoea,Expatriate,12
2014,25-29,Malaria,Expatriate,581
2014,25-29,Measles,Expatriate,11
2014,25-29,Mumps,Expatriate,18
2014,25-29,Other,Expatriate,157
2014,25-29,Other Food Poisoning,Expatriate,51
2014,25-29,Other STD,Expatriate,22
2014,25-29,Other Viral Hepatitis,Expatriate,3
2014,25-29,Pulmonary Tuberculosis,Expatriate,75
2014,25-29,Rubella,Expatriate,1
2014,25-29,Scabies,Expatriate,278
2014,25-29,Scarlet  Fever,Expatriate,0
2014,25-29,Seasonal Influenza,Expatriate,115
2014,25-29,Syphilis,Expatriate,29
2014,25-29,Tetanus,Expatriate,0
2014,25-29,Typhoid Fever,Expatriate,36
2014,25-29,Viral Hepatitis A,Expatriate,18
2014,25-29,Viral Hepatitis B,Expatriate,129
2014,25-29,Viral Hepatitis C,Expatriate,70
2014,25-29,Viral Meningitis,Expatriate,7
2014,25-29,Whooping Cough,Expatriate,0
2014,30-34,Acute Encephalitis,Expatriate,Null
2014,30-34,Acute Flaccid Paralysis,Expatriate,0
2014,30-34,Brucellosis,Expatriate,10
2014,30-34,Chickenpox,Expatriate,543
2014,30-34,Extra Pulmonary Tuberculosis,Expatriate,43
2014,30-34,Giardia Lambia,Expatriate,10
2014,30-34,Gonorrhoea,Expatriate,9
2014,30-34,Malaria,Expatriate,319
2014,30-34,Measles,Expatriate,12
2014,30-34,Mumps,Expatriate,9
2014,30-34,Other,Expatriate,146
2014,30-34,Other Food Poisoning,Expatriate,44
2014,30-34,Other STD,Expatriate,28
2014,30-34,Other Viral Hepatitis,Expatriate,1
2014,30-34,Pulmonary Tuberculosis,Expatriate,52
2014,30-34,Rubella,Expatriate,0
2014,30-34,Scabies,Expatriate,197
2014,30-34,Scarlet  Fever,Expatriate,0
2014,30-34,Seasonal Influenza,Expatriate,108
2014,30-34,Syphilis,Expatriate,45
2014,30-34,Tetanus,Expatriate,0
2014,30-34,Typhoid Fever,Expatriate,36
2014,30-34,Viral Hepatitis A,Expatriate,14
2014,30-34,Viral Hepatitis B,Expatriate,134
2014,30-34,Viral Hepatitis C,Expatriate,71
2014,30-34,Viral Meningitis,Expatriate,4
2014,30-34,Whooping Cough,Expatriate,0
2014,35-39,Acute Encephalitis,Expatriate,1
2014,35-39,Acute Flaccid Paralysis,Expatriate,0
2014,35-39,Brucellosis,Expatriate,5
2014,35-39,Chickenpox,Expatriate,266
2014,35-39,Extra Pulmonary Tuberculosis,Expatriate,20
2014,35-39,Giardia Lambia,Expatriate,13
2014,35-39,Gonorrhoea,Expatriate,8
2014,35-39,Malaria,Expatriate,258
2014,35-39,Measles,Expatriate,5
2014,35-39,Mumps,Expatriate,11
2014,35-39,Other,Expatriate,98
2014,35-39,Other Food Poisoning,Expatriate,36
2014,35-39,Other STD,Expatriate,12
2014,35-39,Other Viral Hepatitis,Expatriate,0
2014,35-39,Pulmonary Tuberculosis,Expatriate,36
2014,35-39,Rubella,Expatriate,0
2014,35-39,Scabies,Expatriate,135
2014,35-39,Scarlet  Fever,Expatriate,0
2014,35-39,Seasonal Influenza,Expatriate,64
2014,35-39,Syphilis,Expatriate,22
2014,35-39,Tetanus,Expatriate,0
2014,35-39,Typhoid Fever,Expatriate,26
2014,35-39,Viral Hepatitis A,Expatriate,6
2014,35-39,Viral Hepatitis B,Expatriate,97
2014,35-39,Viral Hepatitis C,Expatriate,76
2014,35-39,Viral Meningitis,Expatriate,3
2014,35-39,Whooping Cough,Expatriate,0
2014,40-44,Acute Encephalitis,Expatriate,0
2014,40-44,Acute Flaccid Paralysis,Expatriate,0
2014,40-44,Brucellosis,Expatriate,7
2014,40-44,Chickenpox,Expatriate,167
2014,40-44,Extra Pulmonary Tuberculosis,Expatriate,15
2014,40-44,Giardia Lambia,Expatriate,6
2014,40-44,Gonorrhoea,Expatriate,1
2014,40-44,Malaria,Expatriate,172
2014,40-44,Measles,Expatriate,2
2014,40-44,Mumps,Expatriate,4
2014,40-44,Other,Expatriate,95
2014,40-44,Other Food Poisoning,Expatriate,18
2014,40-44,Other STD,Expatriate,9
2014,40-44,Other Viral Hepatitis,Expatriate,1
2014,40-44,Pulmonary Tuberculosis,Expatriate,47
2014,40-44,Rubella,Expatriate,0
2014,40-44,Scabies,Expatriate,94
2014,40-44,Scarlet  Fever,Expatriate,0
2014,40-44,Seasonal Influenza,Expatriate,43
2014,40-44,Syphilis,Expatriate,22
2014,40-44,Tetanus,Expatriate,0
2014,40-44,Typhoid Fever,Expatriate,10
2014,40-44,Viral Hepatitis A,Expatriate,2
2014,40-44,Viral Hepatitis B,Expatriate,62
2014,40-44,Viral Hepatitis C,Expatriate,54
2014,40-44,Viral Meningitis,Expatriate,1
2014,40-44,Whooping Cough,Expatriate,0
2014,45-49,Acute Encephalitis,Expatriate,0
2014,45-49,Acute Flaccid Paralysis,Expatriate,0
2014,45-49,Brucellosis,Expatriate,1
2014,45-49,Chickenpox,Expatriate,71
2014,45-49,Extra Pulmonary Tuberculosis,Expatriate,12
2014,45-49,Giardia Lambia,Expatriate,2
2014,45-49,Gonorrhoea,Expatriate,2
2014,45-49,Malaria,Expatriate,105
2014,45-49,Measles,Expatriate,0
2014,45-49,Mumps,Expatriate,5
2014,45-49,Other,Expatriate,48
2014,45-49,Other Food Poisoning,Expatriate,13
2014,45-49,Other STD,Expatriate,5
2014,45-49,Other Viral Hepatitis,Expatriate,0
2014,45-49,Pulmonary Tuberculosis,Expatriate,22
2014,45-49,Rubella,Expatriate,0
2014,45-49,Scabies,Expatriate,54
2014,45-49,Scarlet  Fever,Expatriate,1
2014,45-49,Seasonal Influenza,Expatriate,31
2014,45-49,Syphilis,Expatriate,22
2014,45-49,Tetanus,Expatriate,0
2014,45-49,Typhoid Fever,Expatriate,6
2014,45-49,Viral Hepatitis A,Expatriate,0
2014,45-49,Viral Hepatitis B,Expatriate,57
2014,45-49,Viral Hepatitis C,Expatriate,63
2014,45-49,Viral Meningitis,Expatriate,1
2014,45-49,Whooping Cough,Expatriate,0
2014,50-54,Acute Encephalitis,Expatriate,0
2014,50-54,Acute Flaccid Paralysis,Expatriate,0
2014,50-54,Brucellosis,Expatriate,3
2014,50-54,Chickenpox,Expatriate,32
2014,50-54,Extra Pulmonary Tuberculosis,Expatriate,2
2014,50-54,Giardia Lambia,Expatriate,2
2014,50-54,Gonorrhoea,Expatriate,0
2014,50-54,Malaria,Expatriate,88
2014,50-54,Measles,Expatriate,0
2014,50-54,Mumps,Expatriate,4
2014,50-54,Other,Expatriate,27
2014,50-54,Other Food Poisoning,Expatriate,9
2014,50-54,Other STD,Expatriate,2
2014,50-54,Other Viral Hepatitis,Expatriate,0
2014,50-54,Pulmonary Tuberculosis,Expatriate,19
2014,50-54,Rubella,Expatriate,0
2014,50-54,Scabies,Expatriate,50
2014,50-54,Scarlet  Fever,Expatriate,0
2014,50-54,Seasonal Influenza,Expatriate,30
2014,50-54,Syphilis,Expatriate,12
2014,50-54,Tetanus,Expatriate,1
2014,50-54,Typhoid Fever,Expatriate,4
2014,50-54,Viral Hepatitis A,Expatriate,2
2014,50-54,Viral Hepatitis B,Expatriate,44
2014,50-54,Viral Hepatitis C,Expatriate,57
2014,50-54,Viral Meningitis,Expatriate,0
2014,50-54,Whooping Cough,Expatriate,0
2014,55-59,Acute Encephalitis,Expatriate,0
2014,55-59,Acute Flaccid Paralysis,Expatriate,0
2014,55-59,Brucellosis,Expatriate,0
2014,55-59,Chickenpox,Expatriate,13
2014,55-59,Extra Pulmonary Tuberculosis,Expatriate,5
2014,55-59,Giardia Lambia,Expatriate,1
2014,55-59,Gonorrhoea,Expatriate,1
2014,55-59,Malaria,Expatriate,72
2014,55-59,Measles,Expatriate,0
2014,55-59,Mumps,Expatriate,0
2014,55-59,Other,Expatriate,32
2014,55-59,Other Food Poisoning,Expatriate,5
2014,55-59,Other STD,Expatriate,0
2014,55-59,Other Viral Hepatitis,Expatriate,0
2014,55-59,Pulmonary Tuberculosis,Expatriate,13
2014,55-59,Rubella,Expatriate,0
2014,55-59,Scabies,Expatriate,29
2014,55-59,Scarlet  Fever,Expatriate,0
2014,55-59,Seasonal Influenza,Expatriate,23
2014,55-59,Syphilis,Expatriate,7
2014,55-59,Tetanus,Expatriate,0
2014,55-59,Typhoid Fever,Expatriate,3
2014,55-59,Viral Hepatitis A,Expatriate,0
2014,55-59,Viral Hepatitis B,Expatriate,22
2014,55-59,Viral Hepatitis C,Expatriate,38
2014,55-59,Viral Meningitis,Expatriate,0
2014,55-59,Whooping Cough,Expatriate,0
2014,60-64,Acute Encephalitis,Expatriate,0
2014,60-64,Acute Flaccid Paralysis,Expatriate,0
2014,60-64,Brucellosis,Expatriate,0
2014,60-64,Chickenpox,Expatriate,3
2014,60-64,Extra Pulmonary Tuberculosis,Expatriate,1
2014,60-64,Giardia Lambia,Expatriate,1
2014,60-64,Gonorrhoea,Expatriate,1
2014,60-64,Malaria,Expatriate,20
2014,60-64,Measles,Expatriate,0
2014,60-64,Mumps,Expatriate,1
2014,60-64,Other,Expatriate,24
2014,60-64,Other Food Poisoning,Expatriate,4
2014,60-64,Other STD,Expatriate,0
2014,60-64,Other Viral Hepatitis,Expatriate,0
2014,60-64,Pulmonary Tuberculosis,Expatriate,2
2014,60-64,Rubella,Expatriate,0
2014,60-64,Scabies,Expatriate,14
2014,60-64,Scarlet  Fever,Expatriate,0
2014,60-64,Seasonal Influenza,Expatriate,13
2014,60-64,Syphilis,Expatriate,2
2014,60-64,Tetanus,Expatriate,0
2014,60-64,Typhoid Fever,Expatriate,4
2014,60-64,Viral Hepatitis A,Expatriate,1
2014,60-64,Viral Hepatitis B,Expatriate,17
2014,60-64,Viral Hepatitis C,Expatriate,23
2014,60-64,Viral Meningitis,Expatriate,0
2014,60-64,Whooping Cough,Expatriate,0
2014,65+,Acute Encephalitis,Expatriate,0
2014,65+,Acute Flaccid Paralysis,Expatriate,0
2014,65+,Brucellosis,Expatriate,1
2014,65+,Chickenpox,Expatriate,1
2014,65+,Extra Pulmonary Tuberculosis,Expatriate,5
2014,65+,Giardia Lambia,Expatriate,0
2014,65+,Gonorrhoea,Expatriate,0
2014,65+,Malaria,Expatriate,4
2014,65+,Measles,Expatriate,0
2014,65+,Mumps,Expatriate,0
2014,65+,Other,Expatriate,20
2014,65+,Other Food Poisoning,Expatriate,1
2014,65+,Other STD,Expatriate,0
2014,65+,Other Viral Hepatitis,Expatriate,0
2014,65+,Pulmonary Tuberculosis,Expatriate,2
2014,65+,Rubella,Expatriate,0
2014,65+,Scabies,Expatriate,4
2014,65+,Scarlet  Fever,Expatriate,0
2014,65+,Seasonal Influenza,Expatriate,11
2014,65+,Syphilis,Expatriate,2
2014,65+,Tetanus,Expatriate,0
2014,65+,Typhoid Fever,Expatriate,2
2014,65+,Viral Hepatitis A,Expatriate,0
2014,65+,Viral Hepatitis B,Expatriate,8
2014,65+,Viral Hepatitis C,Expatriate,16
2014,65+,Viral Meningitis,Expatriate,0
2014,65+,Whooping Cough,Expatriate,0
2014,0-4,Acute Encephalitis,National,0
2014,0-4,Acute Flaccid Paralysis,National,3
2014,0-4,Brucellosis,National,2
2014,0-4,Chickenpox,National,354
2014,0-4,Extra Pulmonary Tuberculosis,National,0
2014,0-4,Giardia Lambia,National,13
2014,0-4,Gonorrhoea,National,0
2014,0-4,Malaria,National,0
2014,0-4,Measles,National,11
2014,0-4,Mumps,National,17
2014,0-4,Other,National,265
2014,0-4,Other Food Poisoning,National,19
2014,0-4,Other STD,National,0
2014,0-4,Other Viral Hepatitis,National,0
2014,0-4,Pulmonary Tuberculosis,National,0
2014,0-4,Rubella,National,3
2014,0-4,Scabies,National,38
2014,0-4,Scarlet  Fever,National,60
2014,0-4,Seasonal Influenza,National,214
2014,0-4,Syphilis,National,0
2014,0-4,Tetanus,National,0
2014,0-4,Typhoid Fever,National,2
2014,0-4,Viral Hepatitis A,National,14
2014,0-4,Viral Hepatitis B,National,0
2014,0-4,Viral Hepatitis C,National,3
2014,0-4,Viral Meningitis,National,5
2014,0-4,Whooping Cough,National,9
2014,5-9,Acute Encephalitis,National,0
2014,5-9,Acute Flaccid Paralysis,National,Null
2014,5-9,Brucellosis,National,5
2014,5-9,Chickenpox,National,399
2014,5-9,Extra Pulmonary Tuberculosis,National,0
2014,5-9,Giardia Lambia,National,3
2014,5-9,Gonorrhoea,National,0
2014,5-9,Malaria,National,0
2014,5-9,Measles,National,3
2014,5-9,Mumps,National,17
2014,5-9,Other,National,82
2014,5-9,Other Food Poisoning,National,8
2014,5-9,Other STD,National,0
2014,5-9,Other Viral Hepatitis,National,0
2014,5-9,Pulmonary Tuberculosis,National,0
2014,5-9,Rubella,National,0
2014,5-9,Scabies,National,31
2014,5-9,Scarlet  Fever,National,42
2014,5-9,Seasonal Influenza,National,53
2014,5-9,Syphilis,National,0
2014,5-9,Tetanus,National,0
2014,5-9,Typhoid Fever,National,3
2014,5-9,Viral Hepatitis A,National,25
2014,5-9,Viral Hepatitis B,National,0
2014,5-9,Viral Hepatitis C,National,3
2014,5-9,Viral Meningitis,National,6
2014,5-9,Whooping Cough,National,0
2014,10-14,Acute Encephalitis,National,0
2014,10-14,Acute Flaccid Paralysis,National,Null
2014,10-14,Brucellosis,National,1
2014,10-14,Chickenpox,National,69
2014,10-14,Extra Pulmonary Tuberculosis,National,1
2014,10-14,Giardia Lambia,National,0
2014,10-14,Gonorrhoea,National,0
2014,10-14,Malaria,National,0
2014,10-14,Measles,National,3
2014,10-14,Mumps,National,2
2014,10-14,Other,National,18
2014,10-14,Other Food Poisoning,National,13
2014,10-14,Other STD,National,1
2014,10-14,Other Viral Hepatitis,National,0
2014,10-14,Pulmonary Tuberculosis,National,0
2014,10-14,Rubella,National,0
2014,10-14,Scabies,National,26
2014,10-14,Scarlet  Fever,National,1
2014,10-14,Seasonal Influenza,National,25
2014,10-14,Syphilis,National,0
2014,10-14,Tetanus,National,0
2014,10-14,Typhoid Fever,National,1
2014,10-14,Viral Hepatitis A,National,9
2014,10-14,Viral Hepatitis B,National,0
2014,10-14,Viral Hepatitis C,National,0
2014,10-14,Viral Meningitis,National,1
2014,10-14,Whooping Cough,National,0
2014,15-19,Acute Encephalitis,National,0
2014,15-19,Acute Flaccid Paralysis,National,Null
2014,15-19,Brucellosis,National,1
2014,15-19,Chickenpox,National,26
2014,15-19,Extra Pulmonary Tuberculosis,National,1
2014,15-19,Giardia Lambia,National,1
2014,15-19,Gonorrhoea,National,3
2014,15-19,Malaria,National,0
2014,15-19,Measles,National,0
2014,15-19,Mumps,National,2
2014,15-19,Other,National,24
2014,15-19,Other Food Poisoning,National,6
2014,15-19,Other STD,National,2
2014,15-19,Other Viral Hepatitis,National,0
2014,15-19,Pulmonary Tuberculosis,National,1
2014,15-19,Rubella,National,1
2014,15-19,Scabies,National,25
2014,15-19,Scarlet  Fever,National,0
2014,15-19,Seasonal Influenza,National,18
2014,15-19,Syphilis,National,0
2014,15-19,Tetanus,National,0
2014,15-19,Typhoid Fever,National,1
2014,15-19,Viral Hepatitis A,National,6
2014,15-19,Viral Hepatitis B,National,6
2014,15-19,Viral Hepatitis C,National,3
2014,15-19,Viral Meningitis,National,1
2014,15-19,Whooping Cough,National,0
2014,20-24,Acute Encephalitis,National,0
2014,20-24,Acute Flaccid Paralysis,National,Null
2014,20-24,Brucellosis,National,2
2014,20-24,Chickenpox,National,15
2014,20-24,Extra Pulmonary Tuberculosis,National,4
2014,20-24,Giardia Lambia,National,2
2014,20-24,Gonorrhoea,National,9
2014,20-24,Malaria,National,0
2014,20-24,Measles,National,1
2014,20-24,Mumps,National,0
2014,20-24,Other,National,46
2014,20-24,Other Food Poisoning,National,14
2014,20-24,Other STD,National,26
2014,20-24,Other Viral Hepatitis,National,0
2014,20-24,Pulmonary Tuberculosis,National,1
2014,20-24,Rubella,National,0
2014,20-24,Scabies,National,17
2014,20-24,Scarlet  Fever,National,0
2014,20-24,Seasonal Influenza,National,22
2014,20-24,Syphilis,National,0
2014,20-24,Tetanus,National,0
2014,20-24,Typhoid Fever,National,2
2014,20-24,Viral Hepatitis A,National,1
2014,20-24,Viral Hepatitis B,National,14
2014,20-24,Viral Hepatitis C,National,5
2014,20-24,Viral Meningitis,National,5
2014,20-24,Whooping Cough,National,0
2014,25-29,Acute Encephalitis,National,0
2014,25-29,Acute Flaccid Paralysis,National,Null
2014,25-29,Brucellosis,National,1
2014,25-29,Chickenpox,National,14
2014,25-29,Extra Pulmonary Tuberculosis,National,0
2014,25-29,Giardia Lambia,National,0
2014,25-29,Gonorrhoea,National,6
2014,25-29,Malaria,National,1
2014,25-29,Measles,National,2
2014,25-29,Mumps,National,2
2014,25-29,Other,National,40
