Year,Activity Type,Activity Type Chapter,% Value per Year
2012,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: 16 sq inches / 100 sq centimeters or less.",0.00%
2012,Service,Neonatal Intensive Care Unit (NICU),0.01%
2012,Service,Intensive Care Unit (ICU),0.00%
2012,Service,Emergency Room - Hourly Rate,0.00%
2012,Service,Delivery Room,0.00%
2012,Service,Day Stay (Day care) Room - Daily Rate,0.00%
2012,Service,Coronary Care Unit (CCU),0.00%
2012,Service,"Comprehensive screening evaluation and management by clinician of an individual, including an age and gender appropriate history, questionnaire filling, examination, and ordering of laboratory/diagnostic procedures, new or established patient; 30-40 minut",0.02%
2012,Service,"Comprehensive screening by a non-physician clinician of an individual, including vital signs, an age and gender appropriate history, coordination for ordering of laboratory/diagnostic procedures and questionnaire filling, new or established patient; 30-40",0.00%
2012,Service,Catheterization Lab,0.00%
2013,CPT,Urinary System,0.32%
2013,CPT,Respiratory System,0.55%
2013,CPT,Radiology,2.22%
2013,CPT,Radiologic Guidance,0.00%
2013,CPT,Radiation Oncology,0.11%
2013,CPT,Pathology & Laboratory,16.47%
2013,CPT,Operating Microscope,0.00%
2013,CPT,Nuclear Medicine,0.32%
2013,CPT,Nervous System,0.05%
2013,CPT,N/A,0.03%
2013,CPT,Musculoskeletal,0.56%
2013,CPT,Mediastinum & Diaphragm,0.00%
2013,CPT,Maternity Care & Delivery,0.10%
2013,CPT,Male Genital System,0.10%
2013,CPT,Integumentary,0.56%
2013,CPT,Hemic & Lymphatic Systems,0.00%
2013,CPT,General,0.01%
2013,CPT,Female Genital System,0.12%
2013,CPT,Eye & Ocular Adnexa,0.68%
2013,CPT,Evaluation & Management,14.98%
2013,CPT,Endocrine System,0.00%
2013,CPT,Digestive System,0.48%
2013,CPT,Diagnostic Ultrasound,2.90%
2013,CPT,Cardiovascular System,0.13%
2013,CPT,Breast Mammography,0.04%
2013,CPT,Bone/Joint Studies,0.04%
2013,CPT,Auditory System,0.15%
2013,CPT,Anesthesia,0.01%
2013,Dental,Unclassified Treatments,0.01%
2013,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.00%
2013,Dental,"Temporomandibular Joint Dysfunctions, Treatment Of",0.00%
2013,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.00%
2013,Dental,Surgical Incisions,0.00%
2013,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.00%
2013,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.00%
2013,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.29%
2013,Dental,"Restorative Services, Other",0.00%
2013,Dental,"Restorative Procedures, Overdentures",0.00%
2013,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.88%
2013,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.03%
2013,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.09%
2013,Dental,"Restorations, Foil, Gold",0.00%
2013,Dental,"Restorations, Amalgam",0.01%
2013,Dental,Restoration,0.06%
2013,Dental,Repairs,0.00%
2013,Dental,"Removals, (Extractions), Surgical",0.10%
2013,Dental,"Removals, (Extractions), Erupted Teeth",0.14%
2013,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.00%
2013,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.00%
2013,Dental,"Radiographs, Specialty Use Only",0.00%
2013,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.16%
2013,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.11%
2013,Dental,Professional Services,0.34%
2013,Dental,Primary Dentition,0.00%
2013,Dental,"Preventive Services, Other",0.07%
2013,Dental,"Pontics, Bridge",0.08%
2013,Dental,Polishing,0.20%
2013,Dental,Permanent Dentition,0.32%
2013,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.08%
2013,Dental,"Periodontal Services, Non Surgical",0.00%
2013,Dental,"Periodontal Services, Miscellaneous",0.00%
2013,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01%
2013,Dental,Periapical Services,0.00%
2013,Dental,"Orthodontic Services, Miscellaneous",0.01%
2013,Dental,"Oral Surgery Procedures, Other",0.23%
2013,Dental,Mixed Dentition,0.01%
2013,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.05%
2013,Dental,"Maxillofacial Deformities, Treatment Of",0.00%
2013,Dental,Master Cast Techniques,0.00%
2013,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.01%
2013,Dental,"Fractures, Treatment Of",0.00%
2013,Dental,"Fixed Prosthetics, Other Services",0.02%
2013,Dental,Fixed Bridge Retainers,0.12%
2013,Dental,"Examination And Diagnosis, Clinical Oral",0.35%
2013,Dental,"Endodontic, Procedures, Miscellaneous",0.01%
2013,Dental,"Drugs/Medication, Dispensing",0.00%
2013,Dental,"Dentures, Replication, Relining And Rebasing",0.00%
2013,Dental,"Dentures, Repairs/Additions",0.00%
2013,Dental,"Dentures, Partial, Cast With Acrylic Base",0.00%
2013,Dental,"Dentures, Partial, Acrylic",0.02%
2013,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.01%
2013,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.00%
2013,Dental,"Crowns, Single Units
(Only)",0.44%
2013,Dental,Case Presentation/ Treatment Planning,0.00%
2013,Dental,Bleaching Vital,0.04%
2013,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.08%
2013,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.02%
2013,Dental,Appliances,0.01%
2013,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.00%
2013,Dental,Anaesthesia,0.01%
2013,DRG,Newborns & Other Neonates,4.21%
2013,DRG,Mental Diseases & Disorders,0.20%
2013,DRG,Medical Ambulatory Visits,0.00%
2013,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.10%
2013,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.55%
2013,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.07%
2013,DRG,Diseases & Disorders Of The Urinary Tract,0.52%
2013,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.65%
2013,DRG,Diseases & Disorders Of The Respiratory System,2.83%
2013,DRG,Diseases & Disorders Of The Nervous System,0.84%
2013,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.23%
2013,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,1.28%
2013,DRG,Diseases & Disorders Of The Male Reproductive System,0.11%
2013,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.52%
2013,DRG,Diseases & Disorders Of The Female Reproductive System,0.64%
2013,DRG,Diseases & Disorders Of The Eye,0.05%
2013,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.42%
2013,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.62%
2013,DRG,Diseases & Disorders Of The Digestive System,1.57%
2013,DRG,Diseases & Disorders Of The Circulatory System,2.15%
2013,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.24%
2013,DRG,Childbirth,2.68%
2013,DRG,Alcohol/Drug Abuse & Dependence,0.04%
2013,Drug,Various,0.24%
2013,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.30%
2013,Drug,Sensory organs,0.34%
2013,Drug,Respiratory system,1.48%
2013,Drug,Nervous system,0.91%
2013,Drug,N/A,3.10%
2013,Drug,Musculo-skeletal system,0.85%
2013,Drug,Genito-urinary system and sex hormones,0.39%
2013,Drug,Dermatologicals,0.42%
2013,Drug,Cardiovascular system,2.59%
2013,Drug,Blood and blood forming organs,2.31%
2013,Drug,"Antiparasitic products, insecticides and repellents",0.03%
2013,Drug,Antineoplastic and immunomodulating agents,3.54%
2013,Drug,Antiinfectives for systemic use,2.05%
2013,Drug,Alimentary tract and metabolism,4.73%
2013,HCPCS,Vision Services,0.03%
2013,HCPCS,Transport Services Including Ambulance,0.76%
2013,HCPCS,Temporary Procedures/Professional Services,0.00%
2013,HCPCS,Temporary National Codes Established Medicaid,0.06%
2013,HCPCS,Temporary National Codes Established by Private Payers,0.01%
2013,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.01%
2013,HCPCS,Temporary Codes Assigned by CMS,0.03%
2013,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.02%
2013,HCPCS,Prosthetics,0.05%
2013,HCPCS,Orthotics,0.12%
2013,HCPCS,Medical and Surgical Supplies,1.04%
2013,HCPCS,Laboratory Services,0.01%
2013,HCPCS,Hearing Services,0.25%
2013,HCPCS,Gradient Compression Stockings,0.00%
2013,HCPCS,Enteral and Parenteral Therapy,0.24%
2013,HCPCS,Durable Medical Equipment,0.66%
2013,HCPCS,Drugs Other Than Chemotherapy,0.00%
2013,HCPCS,CMS Hospital Outpatient Payment System,0.29%
2013,HCPCS,Chemotherapy Drugs,0.00%
2013,HCPCS,"Administrative, Miscellaneous and Investigational",0.06%
2013,N/A,N/A,0.00%
2013,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.00%
2013,Service,Special Care Baby Unit (SCBU),0.00%
2013,Service,Short Stay Room - Hourly Rate,0.00%
2013,Service,Short Stay  Room - Daily Rate,0.00%
2013,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.00%
2013,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.00%
2013,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - Royal Suite,0.00%
2013,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.00%
2013,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.00%
2013,Service,Room and Board: Ward,0.00%
2013,Service,Room and Board:  VIP Room,0.00%
2013,Service,Room and Board:  Suite,0.00%
2013,Service,Room and Board: Shared Room,0.00%
2013,Service,Room and Board: Royal Suite,0.00%
2013,Service,Room and Board: Isolation Room,0.00%
2013,Service,Room and Board: First Class Room,0.01%
2013,Service,Recovery Room  - Hourly Rate,0.00%
2013,Service,Perdiem  - Ward or Shared Room - Daily Rate  (Day 8 and more),0.01%
2013,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 4 to 8),0.01%
2013,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 1 to 3),0.02%
2013,Service,Perdiem - Short Stay,0.42%
2013,Service,Perdiem - SCU - Daily Rate (Day 9 and more),0.00%
2013,Service,Perdiem - SCU - Daily Rate (Day 4 to 8),0.00%
2013,Service,Perdiem - SCU - Daily Rate (Day 1 to 3),0.00%
2013,Service,Perdiem - SCBU  - Daily Rate  (Day 9 and more),0.01%
2013,Service,Perdiem - SCBU  - Daily Rate (Day 4 to 8),0.00%
2013,Service,Perdiem - SCBU  - Daily Rate (Day 1 to 3),0.00%
2013,Service,Perdiem - PICU - Daily Rate  (Day 22 and more),0.01%
2013,Service,Perdiem - PICU - Daily Rate (Day 15 to 21),0.00%
2013,Service,Perdiem - PICU - Daily Rate (Day 8 to 14),0.00%
2013,Service,Perdiem - PICU - Daily Rate (Day 1 to 7),0.00%
2013,Service,Perdiem - Non- Medical Escort accommodation - Daily Rate,0.00%
2013,Service,Perdiem - NICU - Daily Rate (Day 22 and more),0.06%
2013,Service,Perdiem - NICU - Daily Rate (Day 15 to 21),0.01%
2013,Service,Perdiem - NICU - Daily Rate (Day 8 to 14),0.01%
2013,Service,Perdiem - NICU - Daily Rate (Day 1 to 7),0.02%
2013,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 9 and more),0.00%
2013,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 4 to 8),0.00%
2013,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 1 to 3),0.00%
2013,Service,Perdiem - Long Term Stay - Daily Rate - Simple Cases,0.43%
2013,Service,Perdiem - Long Term Stay - Daily Rate - Severe Cases,1.78%
2013,Service,Perdiem - Long Term Stay - Daily Rate - Intermediate Cases,0.45%
2013,Service,Perdiem - Long Term Stay - Daily Rate - Intensive Cases,0.08%
2013,Service,Perdiem - ICU/CCU - Daily Rate (Day 22 and more),0.01%
2013,Service,Perdiem - ICU/CCU - Daily Rate (Day 15 to 21),0.00%
2013,Service,Perdiem - ICU/CCU - Daily Rate (Day 8 to 14),0.01%
2013,Service,Perdiem - ICU/CCU - Daily Rate (Day 1 to 7),0.04%
2013,Service,Perdiem - Haemodialysis  (HD),1.80%
2013,Service,Perdiem - Day Stay (Day care) Surgical Case - Inclusive.,0.87%
2013,Service,Perdiem - Day Stay (Day care) Medical Case - Inclusive.,0.07%
2013,Service,Perdiem - Continuous  Ambulatory Peritoneal Dialysis (CAPD).,0.00%
2013,Service,Perdiem - Companion Accommodation,0.00%
2013,Service,Perdiem - Automated Peritoneal Dialysis (APD).,0.02%
2013,Service,Paediatric intensive care Unit (PICU),0.00%
2013,Service,Outlier Payment,0.92%
2013,Service,Operating Room Services - Minor Surgery,0.00%
2013,Service,Operating Room Services - General Classification,0.00%
2013,Service,Operating Room Services - First Hour,0.01%
2013,Service,Operating Room Services - Every Additional 1/2 hr.,0.00%
2013,Service,Nursery - General Classification,0.00%
2013,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: more than 48 sq inches / 300 sq centimeters.",0.00%
2013,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: between 16 sq inches / 100 sq centimeters  and 48 sq inches / 300 sq centimeters .",0.00%
2013,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: 16 sq inches / 100 sq centimeters or less.",0.01%
2013,Service,Neonatal Intensive Care Unit (NICU),0.01%
2013,Service,Intensive Care Unit (ICU),0.01%
2013,Service,Emergency Room - Hourly Rate,0.00%
2013,Service,Delivery Room,0.00%
2013,Service,Day Stay (Day care) Room - Daily Rate,0.00%
2013,Service,Coronary Care Unit (CCU),0.00%
2013,Service,"Comprehensive screening evaluation and management by clinician of an individual, including an age and gender appropriate history, questionnaire filling, examination, and ordering of laboratory/diagnostic procedures, new or established patient; 30-40 minut",0.03%
2013,Service,"Comprehensive screening by a non-physician clinician of an individual, including vital signs, an age and gender appropriate history, coordination for ordering of laboratory/diagnostic procedures and questionnaire filling, new or established patient; 30-40",0.00%
2013,Service,Catheterization Lab,0.00%
2014,CPT,Urinary System,0.34%
2014,CPT,Respiratory System,0.63%
2014,CPT,Radiology,2.56%
2014,CPT,Radiologic Guidance,0.00%
2014,CPT,Radiation Oncology,0.22%
2014,CPT,Pathology & Laboratory,17.93%
2014,CPT,Operating Microscope,0.00%
2014,CPT,Nuclear Medicine,0.36%
2014,CPT,Nervous System,0.05%
2014,CPT,N/A,0.03%
2014,CPT,Musculoskeletal,0.59%
2014,CPT,Mediastinum & Diaphragm,0.00%
2014,CPT,Maternity Care & Delivery,0.12%
2014,CPT,Male Genital System,0.10%
2014,CPT,Integumentary,0.61%
2014,CPT,Hemic & Lymphatic Systems,0.00%
2014,CPT,General,0.01%
2014,CPT,Female Genital System,0.14%
2014,CPT,Eye & Ocular Adnexa,0.67%
2014,CPT,Evaluation & Management,14.92%
2014,CPT,Endocrine System,0.00%
2014,CPT,Digestive System,0.51%
2014,CPT,Diagnostic Ultrasound,3.10%
2014,CPT,Cardiovascular System,0.11%
2014,CPT,Breast Mammography,0.06%
2014,CPT,Bone/Joint Studies,0.04%
2014,CPT,Auditory System,0.16%
2014,CPT,Anesthesia,0.00%
2014,Dental,Unclassified Treatments,0.01%
2014,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.00%
2014,Dental,"Temporomandibular Joint Dysfunctions, Treatment Of",0.00%
2014,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.00%
2014,Dental,Surgical Incisions,0.01%
2014,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.01%
2014,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.01%
2014,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.31%
2014,Dental,"Restorative Services, Other",0.00%
2014,Dental,"Restorative Procedures, Overdentures",0.00%
2014,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.93%
2014,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.04%
2014,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.11%
2014,Dental,"Restorations, Amalgam",0.01%
2014,Dental,Restoration,0.07%
2014,Dental,Repairs,0.00%
2014,Dental,"Removals, (Extractions), Surgical",0.11%
2014,Dental,"Removals, (Extractions), Erupted Teeth",0.16%
2014,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.00%
2014,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.00%
2014,Dental,"Radiographs, Specialty Use Only",0.00%
2014,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.17%
2014,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.11%
2014,Dental,"Prosthesis, Maxillofacial",0.00%
2014,Dental,Professional Services,0.37%
2014,Dental,Primary Dentition,0.00%
2014,Dental,"Preventive Services, Other",0.08%
2014,Dental,"Pontics, Bridge",0.08%
2014,Dental,Polishing,0.21%
2014,Dental,Permanent Dentition,0.36%
2014,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.11%
2014,Dental,"Periodontal Services, Non Surgical",0.00%
2014,Dental,"Periodontal Services, Miscellaneous",0.00%
2014,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01%
2014,Dental,Periapical Services,0.00%
2014,Dental,"Orthodontic Services, Miscellaneous",0.01%
2014,Dental,"Oral Surgery Procedures, Other",0.25%
2014,Dental,N/A,0.00%
2014,Dental,Mixed Dentition,0.01%
2014,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.06%
2014,Dental,"Maxillofacial Deformities, Treatment Of",0.00%
2014,Dental,Master Cast Techniques,0.00%
2014,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.00%
2014,Dental,"Fractures, Treatment Of",0.00%
2014,Dental,"Fixed Prosthetics, Other Services",0.01%
2014,Dental,Fixed Bridge Retainers,0.12%
2014,Dental,"Examination And Diagnosis, Clinical Oral",0.36%
2014,Dental,"Endodontic, Procedures, Miscellaneous",0.01%
2014,Dental,"Drugs/Medication, Dispensing",0.00%
2014,Dental,"Dentures, Replication, Relining And Rebasing",0.00%
2014,Dental,"Dentures, Repairs/Additions",0.00%
2014,Dental,"Dentures, Partial, Cast With Acrylic Base",0.00%
2014,Dental,"Dentures, Partial, Acrylic",0.02%
2014,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.01%
2014,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.00%
2014,Dental,"Crowns, Single Units
(Only)",0.56%
2014,Dental,Case Presentation/ Treatment Planning,0.00%
2014,Dental,Bleaching Vital,0.07%
2014,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.08%
2014,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.02%
2014,Dental,Appliances,0.01%
2014,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.00%
2014,Dental,Anaesthesia,0.01%
2014,DRG,Newborns & Other Neonates,3.52%
2014,DRG,Mental Diseases & Disorders,0.18%
2014,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.09%
2014,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.44%
2014,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.07%
2014,DRG,Diseases & Disorders Of The Urinary Tract,0.55%
2014,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.50%
2014,DRG,Diseases & Disorders Of The Respiratory System,2.69%
2014,DRG,Diseases & Disorders Of The Nervous System,0.77%
2014,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.24%
2014,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,1.25%
2014,DRG,Diseases & Disorders Of The Male Reproductive System,0.10%
2014,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.50%
2014,DRG,Diseases & Disorders Of The Female Reproductive System,0.62%
2014,DRG,Diseases & Disorders Of The Eye,0.04%
2014,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.37%
2014,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.51%
2014,DRG,Diseases & Disorders Of The Digestive System,1.45%
2014,DRG,Diseases & Disorders Of The Circulatory System,2.13%
2014,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.24%
2014,DRG,Childbirth,2.60%
2014,DRG,Alcohol/Drug Abuse & Dependence,0.04%
2014,Drug,Various,0.22%
2014,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.27%
2014,Drug,Sensory organs,0.19%
2014,Drug,Respiratory system,1.38%
2014,Drug,Nervous system,0.72%
2014,Drug,N/A,4.83%
2014,Drug,Musculo-skeletal system,0.73%
2014,Drug,Genito-urinary system and sex hormones,0.37%
2014,Drug,Dermatologicals,0.41%
2014,Drug,Cardiovascular system,2.22%
2014,Drug,Blood and blood forming organs,1.82%
2014,Drug,"Antiparasitic products, insecticides and repellents",0.03%
2014,Drug,Antineoplastic and immunomodulating agents,2.49%
2014,Drug,Antiinfectives for systemic use,1.90%
2014,Drug,Alimentary tract and metabolism,3.71%
2014,HCPCS,Vision Services,0.02%
2014,HCPCS,Transport Services Including Ambulance,1.50%
2014,HCPCS,Temporary Procedures/Professional Services,0.00%
2014,HCPCS,Temporary National Codes Established Medicaid,0.09%
2014,HCPCS,Temporary National Codes Established by Private Payers,0.02%
2014,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.03%
2014,HCPCS,Temporary Codes Assigned by CMS,0.02%
2014,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.02%
2014,HCPCS,Prosthetics,0.05%
2014,HCPCS,Orthotics,0.14%
2014,HCPCS,Medical and Surgical Supplies,0.84%
2014,HCPCS,Laboratory Services,0.00%
2014,HCPCS,Helmets,0.00%
2014,HCPCS,Hearing Services,0.30%
2014,HCPCS,Gradient Compression Stockings,0.00%
2014,HCPCS,Enteral and Parenteral Therapy,0.23%
2014,HCPCS,Durable Medical Equipment,0.65%
2014,HCPCS,Drugs Other Than Chemotherapy,0.00%
2014,HCPCS,CMS Hospital Outpatient Payment System,0.23%
2014,HCPCS,Chemotherapy Drugs,0.00%
2014,HCPCS,"Administrative, Miscellaneous and Investigational",0.08%
2014,N/A,N/A,0.00%
2014,Service,Tele-consultation resulting in Self Care,0.00%
2014,Service,Tele-consultation resulting in Referral,0.00%
2014,Service,Tele-consultation resulting in Emergency Management,0.00%
2014,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.00%
2014,Service,Special Care Baby Unit (SCBU),0.00%
2014,Service,Short Stay Room - Hourly Rate,0.00%
2014,Service,Short Stay  Room - Daily Rate,0.00%
2014,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.00%
2014,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.00%
2014,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - Royal Suite,0.00%
2014,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.00%
2014,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.00%
2014,Service,Room and Board: Ward,0.00%
2014,Service,Room and Board:  VIP Room,0.00%
2014,Service,Room and Board:  Suite,0.00%
2014,Service,Room and Board: Shared Room,0.00%
2014,Service,Room and Board: Royal Suite,0.00%
2014,Service,Room and Board: Isolation Room,0.00%
2014,Service,Room and Board: First Class Room,0.00%
2014,Service,Recovery Room  - Hourly Rate,0.00%
2014,Service,Perdiem  - Ward or Shared Room - Daily Rate  (Day 8 and more),0.03%
2014,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 4 to 8),0.02%
2014,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 1 to 3),0.03%
2014,Service,Perdiem - Short Stay,0.52%
2014,Service,Perdiem - SCU - Daily Rate (Day 9 and more),0.00%
2014,Service,Perdiem - SCU - Daily Rate (Day 4 to 8),0.00%
2014,Service,Perdiem - SCU - Daily Rate (Day 1 to 3),0.00%
2014,Service,Perdiem - SCBU  - Daily Rate  (Day 9 and more),0.01%
2014,Service,Perdiem - SCBU  - Daily Rate (Day 4 to 8),0.00%
2014,Service,Perdiem - SCBU  - Daily Rate (Day 1 to 3),0.00%
2014,Service,Perdiem - PICU - Daily Rate  (Day 22 and more),0.04%
2014,Service,Perdiem - PICU - Daily Rate (Day 15 to 21),0.00%
2014,Service,Perdiem - PICU - Daily Rate (Day 8 to 14),0.00%
2014,Service,Perdiem - PICU - Daily Rate (Day 1 to 7),0.01%
2014,Service,Perdiem - NICU - Daily Rate (Day 22 and more),0.05%
2014,Service,Perdiem - NICU - Daily Rate (Day 15 to 21),0.01%
2014,Service,Perdiem - NICU - Daily Rate (Day 8 to 14),0.02%
2014,Service,Perdiem - NICU - Daily Rate (Day 1 to 7),0.04%
2014,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 9 and more),0.00%
2014,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 4 to 8),0.00%
