,Year,Activity_Type,Activity_Type_Chapter,Percentage_Value_per_Year
413,2012,Service,Perdiem - Companion Accommodation,0.0
414,2012,Service,Paediatric intensive care Unit (PICU),0.0
415,2012,Service,Outlier Payment,0.34
416,2012,Service,Operating Room Services - Minor Surgery,0.0
417,2012,Service,Operating Room Services - General Classification,0.02
418,2012,Service,Operating Room Services - First Hour,0.02
419,2012,Service,Operating Room Services - Every Additional 1/2 hr.,0.0
420,2012,Service,Nursery - General Classification,0.0
421,2012,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: more than 48 sq inches / 300 sq centimeters.",0.0
422,2012,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: between 16 sq inches / 100 sq centimeters  and 48 sq inches / 300 sq centimeters .",0.0
423,2012,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: 16 sq inches / 100 sq centimeters or less.",0.0
424,2012,Service,Neonatal Intensive Care Unit (NICU),0.01
425,2012,Service,Intensive Care Unit (ICU),0.0
426,2012,Service,Emergency Room - Hourly Rate,0.0
427,2012,Service,Delivery Room,0.0
428,2012,Service,Day Stay (Day care) Room - Daily Rate,0.0
429,2012,Service,Coronary Care Unit (CCU),0.0
430,2012,Service,"Comprehensive screening evaluation and management by clinician of an individual, including an age and gender appropriate history, questionnaire filling, examination, and ordering of laboratory/diagnostic procedures, new or established patient; 30-40 minut",0.02
431,2012,Service,"Comprehensive screening by a non-physician clinician of an individual, including vital signs, an age and gender appropriate history, coordination for ordering of laboratory/diagnostic procedures and questionnaire filling, new or established patient; 30-40",0.0
432,2012,Service,Catheterization Lab,0.0
433,2013,CPT,Urinary System,0.32
434,2013,CPT,Respiratory System,0.55
435,2013,CPT,Radiology,2.22
436,2013,CPT,Radiologic Guidance,0.0
437,2013,CPT,Radiation Oncology,0.11
438,2013,CPT,Pathology & Laboratory,16.47
439,2013,CPT,Operating Microscope,0.0
440,2013,CPT,Nuclear Medicine,0.32
441,2013,CPT,Nervous System,0.05
442,2013,CPT,,0.03
443,2013,CPT,Musculoskeletal,0.56
444,2013,CPT,Mediastinum & Diaphragm,0.0
445,2013,CPT,Maternity Care & Delivery,0.1
446,2013,CPT,Male Genital System,0.1
447,2013,CPT,Integumentary,0.56
448,2013,CPT,Hemic & Lymphatic Systems,0.0
449,2013,CPT,General,0.01
450,2013,CPT,Female Genital System,0.12
451,2013,CPT,Eye & Ocular Adnexa,0.68
452,2013,CPT,Evaluation & Management,14.98
453,2013,CPT,Endocrine System,0.0
454,2013,CPT,Digestive System,0.48
455,2013,CPT,Diagnostic Ultrasound,2.9
456,2013,CPT,Cardiovascular System,0.13
457,2013,CPT,Breast Mammography,0.04
458,2013,CPT,Bone/Joint Studies,0.04
459,2013,CPT,Auditory System,0.15
460,2013,CPT,Anesthesia,0.01
461,2013,Dental,Unclassified Treatments,0.01
462,2013,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.0
463,2013,Dental,"Temporomandibular Joint Dysfunctions, Treatment Of",0.0
464,2013,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.0
465,2013,Dental,Surgical Incisions,0.0
466,2013,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.0
467,2013,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.0
468,2013,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.29
469,2013,Dental,"Restorative Services, Other",0.0
470,2013,Dental,"Restorative Procedures, Overdentures",0.0
471,2013,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.88
472,2013,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.03
473,2013,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.09
474,2013,Dental,"Restorations, Foil, Gold",0.0
475,2013,Dental,"Restorations, Amalgam",0.01
476,2013,Dental,Restoration,0.06
477,2013,Dental,Repairs,0.0
478,2013,Dental,"Removals, (Extractions), Surgical",0.1
479,2013,Dental,"Removals, (Extractions), Erupted Teeth",0.14
480,2013,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.0
481,2013,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.0
482,2013,Dental,"Radiographs, Specialty Use Only",0.0
483,2013,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.16
484,2013,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.11
485,2013,Dental,Professional Services,0.34
486,2013,Dental,Primary Dentition,0.0
487,2013,Dental,"Preventive Services, Other",0.07
488,2013,Dental,"Pontics, Bridge",0.08
489,2013,Dental,Polishing,0.2
490,2013,Dental,Permanent Dentition,0.32
491,2013,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.08
492,2013,Dental,"Periodontal Services, Non Surgical",0.0
493,2013,Dental,"Periodontal Services, Miscellaneous",0.0
494,2013,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01
495,2013,Dental,Periapical Services,0.0
496,2013,Dental,"Orthodontic Services, Miscellaneous",0.01
497,2013,Dental,"Oral Surgery Procedures, Other",0.23
498,2013,Dental,Mixed Dentition,0.01
499,2013,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.05
500,2013,Dental,"Maxillofacial Deformities, Treatment Of",0.0
501,2013,Dental,Master Cast Techniques,0.0
502,2013,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.01
503,2013,Dental,"Fractures, Treatment Of",0.0
504,2013,Dental,"Fixed Prosthetics, Other Services",0.02
505,2013,Dental,Fixed Bridge Retainers,0.12
506,2013,Dental,"Examination And Diagnosis, Clinical Oral",0.35
507,2013,Dental,"Endodontic, Procedures, Miscellaneous",0.01
508,2013,Dental,"Drugs/Medication, Dispensing",0.0
509,2013,Dental,"Dentures, Replication, Relining And Rebasing",0.0
510,2013,Dental,"Dentures, Repairs/Additions",0.0
511,2013,Dental,"Dentures, Partial, Cast With Acrylic Base",0.0
512,2013,Dental,"Dentures, Partial, Acrylic",0.02
513,2013,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.01
514,2013,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.0
515,2013,Dental,"Crowns, Single Units
(Only)",0.44
516,2013,Dental,Case Presentation/ Treatment Planning,0.0
517,2013,Dental,Bleaching Vital,0.04
518,2013,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.08
519,2013,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.02
520,2013,Dental,Appliances,0.01
521,2013,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.0
522,2013,Dental,Anaesthesia,0.01
523,2013,DRG,Newborns & Other Neonates,4.21
524,2013,DRG,Mental Diseases & Disorders,0.2
525,2013,DRG,Medical Ambulatory Visits,0.0
526,2013,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.1
527,2013,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.55
528,2013,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.07
529,2013,DRG,Diseases & Disorders Of The Urinary Tract,0.52
530,2013,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.65
531,2013,DRG,Diseases & Disorders Of The Respiratory System,2.83
532,2013,DRG,Diseases & Disorders Of The Nervous System,0.84
533,2013,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.23
534,2013,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,1.28
535,2013,DRG,Diseases & Disorders Of The Male Reproductive System,0.11
536,2013,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.52
537,2013,DRG,Diseases & Disorders Of The Female Reproductive System,0.64
538,2013,DRG,Diseases & Disorders Of The Eye,0.05
539,2013,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.42
540,2013,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.62
541,2013,DRG,Diseases & Disorders Of The Digestive System,1.57
542,2013,DRG,Diseases & Disorders Of The Circulatory System,2.15
543,2013,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.24
544,2013,DRG,Childbirth,2.68
545,2013,DRG,Alcohol/Drug Abuse & Dependence,0.04
546,2013,Drug,Various,0.24
547,2013,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.3
548,2013,Drug,Sensory organs,0.34
549,2013,Drug,Respiratory system,1.48
550,2013,Drug,Nervous system,0.91
551,2013,Drug,,3.1
552,2013,Drug,Musculo-skeletal system,0.85
553,2013,Drug,Genito-urinary system and sex hormones,0.39
554,2013,Drug,Dermatologicals,0.42
555,2013,Drug,Cardiovascular system,2.59
556,2013,Drug,Blood and blood forming organs,2.31
557,2013,Drug,"Antiparasitic products, insecticides and repellents",0.03
558,2013,Drug,Antineoplastic and immunomodulating agents,3.54
559,2013,Drug,Antiinfectives for systemic use,2.05
560,2013,Drug,Alimentary tract and metabolism,4.73
561,2013,HCPCS,Vision Services,0.03
562,2013,HCPCS,Transport Services Including Ambulance,0.76
563,2013,HCPCS,Temporary Procedures/Professional Services,0.0
564,2013,HCPCS,Temporary National Codes Established Medicaid,0.06
565,2013,HCPCS,Temporary National Codes Established by Private Payers,0.01
566,2013,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.01
567,2013,HCPCS,Temporary Codes Assigned by CMS,0.03
568,2013,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.02
569,2013,HCPCS,Prosthetics,0.05
570,2013,HCPCS,Orthotics,0.12
571,2013,HCPCS,Medical and Surgical Supplies,1.04
572,2013,HCPCS,Laboratory Services,0.01
573,2013,HCPCS,Hearing Services,0.25
574,2013,HCPCS,Gradient Compression Stockings,0.0
575,2013,HCPCS,Enteral and Parenteral Therapy,0.24
576,2013,HCPCS,Durable Medical Equipment,0.66
577,2013,HCPCS,Drugs Other Than Chemotherapy,0.0
578,2013,HCPCS,CMS Hospital Outpatient Payment System,0.29
579,2013,HCPCS,Chemotherapy Drugs,0.0
580,2013,HCPCS,"Administrative, Miscellaneous and Investigational",0.06
581,2013,,,0.0
582,2013,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.0
583,2013,Service,Special Care Baby Unit (SCBU),0.0
584,2013,Service,Short Stay Room - Hourly Rate,0.0
585,2013,Service,Short Stay  Room - Daily Rate,0.0
586,2013,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.0
587,2013,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.0
588,2013,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - Royal Suite,0.0
589,2013,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.0
590,2013,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.0
591,2013,Service,Room and Board: Ward,0.0
592,2013,Service,Room and Board:  VIP Room,0.0
593,2013,Service,Room and Board:  Suite,0.0
594,2013,Service,Room and Board: Shared Room,0.0
595,2013,Service,Room and Board: Royal Suite,0.0
596,2013,Service,Room and Board: Isolation Room,0.0
597,2013,Service,Room and Board: First Class Room,0.01
598,2013,Service,Recovery Room  - Hourly Rate,0.0
599,2013,Service,Perdiem  - Ward or Shared Room - Daily Rate  (Day 8 and more),0.01
600,2013,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 4 to 8),0.01
601,2013,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 1 to 3),0.02
602,2013,Service,Perdiem - Short Stay,0.42
603,2013,Service,Perdiem - SCU - Daily Rate (Day 9 and more),0.0
604,2013,Service,Perdiem - SCU - Daily Rate (Day 4 to 8),0.0
605,2013,Service,Perdiem - SCU - Daily Rate (Day 1 to 3),0.0
606,2013,Service,Perdiem - SCBU  - Daily Rate  (Day 9 and more),0.01
607,2013,Service,Perdiem - SCBU  - Daily Rate (Day 4 to 8),0.0
608,2013,Service,Perdiem - SCBU  - Daily Rate (Day 1 to 3),0.0
609,2013,Service,Perdiem - PICU - Daily Rate  (Day 22 and more),0.01
610,2013,Service,Perdiem - PICU - Daily Rate (Day 15 to 21),0.0
611,2013,Service,Perdiem - PICU - Daily Rate (Day 8 to 14),0.0
612,2013,Service,Perdiem - PICU - Daily Rate (Day 1 to 7),0.0
613,2013,Service,Perdiem - Non- Medical Escort accommodation - Daily Rate,0.0
614,2013,Service,Perdiem - NICU - Daily Rate (Day 22 and more),0.06
615,2013,Service,Perdiem - NICU - Daily Rate (Day 15 to 21),0.01
616,2013,Service,Perdiem - NICU - Daily Rate (Day 8 to 14),0.01
617,2013,Service,Perdiem - NICU - Daily Rate (Day 1 to 7),0.02
618,2013,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 9 and more),0.0
619,2013,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 4 to 8),0.0
620,2013,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 1 to 3),0.0
621,2013,Service,Perdiem - Long Term Stay - Daily Rate - Simple Cases,0.43
622,2013,Service,Perdiem - Long Term Stay - Daily Rate - Severe Cases,1.78
623,2013,Service,Perdiem - Long Term Stay - Daily Rate - Intermediate Cases,0.45
624,2013,Service,Perdiem - Long Term Stay - Daily Rate - Intensive Cases,0.08
625,2013,Service,Perdiem - ICU/CCU - Daily Rate (Day 22 and more),0.01
626,2013,Service,Perdiem - ICU/CCU - Daily Rate (Day 15 to 21),0.0
627,2013,Service,Perdiem - ICU/CCU - Daily Rate (Day 8 to 14),0.01
628,2013,Service,Perdiem - ICU/CCU - Daily Rate (Day 1 to 7),0.04
629,2013,Service,Perdiem - Haemodialysis  (HD),1.8
630,2013,Service,Perdiem - Day Stay (Day care) Surgical Case - Inclusive.,0.87
631,2013,Service,Perdiem - Day Stay (Day care) Medical Case - Inclusive.,0.07
632,2013,Service,Perdiem - Continuous  Ambulatory Peritoneal Dialysis (CAPD).,0.0
633,2013,Service,Perdiem - Companion Accommodation,0.0
634,2013,Service,Perdiem - Automated Peritoneal Dialysis (APD).,0.02
635,2013,Service,Paediatric intensive care Unit (PICU),0.0
636,2013,Service,Outlier Payment,0.92
637,2013,Service,Operating Room Services - Minor Surgery,0.0
638,2013,Service,Operating Room Services - General Classification,0.0
639,2013,Service,Operating Room Services - First Hour,0.01
640,2013,Service,Operating Room Services - Every Additional 1/2 hr.,0.0
641,2013,Service,Nursery - General Classification,0.0
642,2013,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: more than 48 sq inches / 300 sq centimeters.",0.0
643,2013,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: between 16 sq inches / 100 sq centimeters  and 48 sq inches / 300 sq centimeters .",0.0
644,2013,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: 16 sq inches / 100 sq centimeters or less.",0.01
645,2013,Service,Neonatal Intensive Care Unit (NICU),0.01
646,2013,Service,Intensive Care Unit (ICU),0.01
647,2013,Service,Emergency Room - Hourly Rate,0.0
648,2013,Service,Delivery Room,0.0
649,2013,Service,Day Stay (Day care) Room - Daily Rate,0.0
650,2013,Service,Coronary Care Unit (CCU),0.0
651,2013,Service,"Comprehensive screening evaluation and management by clinician of an individual, including an age and gender appropriate history, questionnaire filling, examination, and ordering of laboratory/diagnostic procedures, new or established patient; 30-40 minut",0.03
652,2013,Service,"Comprehensive screening by a non-physician clinician of an individual, including vital signs, an age and gender appropriate history, coordination for ordering of laboratory/diagnostic procedures and questionnaire filling, new or established patient; 30-40",0.0
653,2013,Service,Catheterization Lab,0.0
654,2014,CPT,Urinary System,0.34
655,2014,CPT,Respiratory System,0.63
656,2014,CPT,Radiology,2.56
657,2014,CPT,Radiologic Guidance,0.0
658,2014,CPT,Radiation Oncology,0.22
659,2014,CPT,Pathology & Laboratory,17.93
660,2014,CPT,Operating Microscope,0.0
661,2014,CPT,Nuclear Medicine,0.36
662,2014,CPT,Nervous System,0.05
663,2014,CPT,,0.03
664,2014,CPT,Musculoskeletal,0.59
665,2014,CPT,Mediastinum & Diaphragm,0.0
666,2014,CPT,Maternity Care & Delivery,0.12
667,2014,CPT,Male Genital System,0.1
668,2014,CPT,Integumentary,0.61
669,2014,CPT,Hemic & Lymphatic Systems,0.0
670,2014,CPT,General,0.01
671,2014,CPT,Female Genital System,0.14
672,2014,CPT,Eye & Ocular Adnexa,0.67
673,2014,CPT,Evaluation & Management,14.92
674,2014,CPT,Endocrine System,0.0
675,2014,CPT,Digestive System,0.51
676,2014,CPT,Diagnostic Ultrasound,3.1
677,2014,CPT,Cardiovascular System,0.11
678,2014,CPT,Breast Mammography,0.06
679,2014,CPT,Bone/Joint Studies,0.04
680,2014,CPT,Auditory System,0.16
681,2014,CPT,Anesthesia,0.0
682,2014,Dental,Unclassified Treatments,0.01
683,2014,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.0
684,2014,Dental,"Temporomandibular Joint Dysfunctions, Treatment Of",0.0
685,2014,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.0
686,2014,Dental,Surgical Incisions,0.01
687,2014,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.01
688,2014,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.01
689,2014,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.31
690,2014,Dental,"Restorative Services, Other",0.0
691,2014,Dental,"Restorative Procedures, Overdentures",0.0
692,2014,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.93
693,2014,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.04
694,2014,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.11
695,2014,Dental,"Restorations, Amalgam",0.01
696,2014,Dental,Restoration,0.07
697,2014,Dental,Repairs,0.0
698,2014,Dental,"Removals, (Extractions), Surgical",0.11
699,2014,Dental,"Removals, (Extractions), Erupted Teeth",0.16
700,2014,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.0
701,2014,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.0
702,2014,Dental,"Radiographs, Specialty Use Only",0.0
703,2014,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.17
704,2014,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.11
705,2014,Dental,"Prosthesis, Maxillofacial",0.0
706,2014,Dental,Professional Services,0.37
707,2014,Dental,Primary Dentition,0.0
708,2014,Dental,"Preventive Services, Other",0.08
709,2014,Dental,"Pontics, Bridge",0.08
710,2014,Dental,Polishing,0.21
711,2014,Dental,Permanent Dentition,0.36
712,2014,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.11
713,2014,Dental,"Periodontal Services, Non Surgical",0.0
714,2014,Dental,"Periodontal Services, Miscellaneous",0.0
715,2014,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01
716,2014,Dental,Periapical Services,0.0
717,2014,Dental,"Orthodontic Services, Miscellaneous",0.01
718,2014,Dental,"Oral Surgery Procedures, Other",0.25
719,2014,Dental,,0.0
720,2014,Dental,Mixed Dentition,0.01
721,2014,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.06
722,2014,Dental,"Maxillofacial Deformities, Treatment Of",0.0
723,2014,Dental,Master Cast Techniques,0.0
724,2014,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.0
725,2014,Dental,"Fractures, Treatment Of",0.0
726,2014,Dental,"Fixed Prosthetics, Other Services",0.01
727,2014,Dental,Fixed Bridge Retainers,0.12
728,2014,Dental,"Examination And Diagnosis, Clinical Oral",0.36
729,2014,Dental,"Endodontic, Procedures, Miscellaneous",0.01
730,2014,Dental,"Drugs/Medication, Dispensing",0.0
731,2014,Dental,"Dentures, Replication, Relining And Rebasing",0.0
732,2014,Dental,"Dentures, Repairs/Additions",0.0
733,2014,Dental,"Dentures, Partial, Cast With Acrylic Base",0.0
734,2014,Dental,"Dentures, Partial, Acrylic",0.02
735,2014,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.01
736,2014,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.0
737,2014,Dental,"Crowns, Single Units
(Only)",0.56
738,2014,Dental,Case Presentation/ Treatment Planning,0.0
739,2014,Dental,Bleaching Vital,0.07
740,2014,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.08
741,2014,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.02
742,2014,Dental,Appliances,0.01
743,2014,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.0
744,2014,Dental,Anaesthesia,0.01
745,2014,DRG,Newborns & Other Neonates,3.52
746,2014,DRG,Mental Diseases & Disorders,0.18
747,2014,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.09
748,2014,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.44
749,2014,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.07
750,2014,DRG,Diseases & Disorders Of The Urinary Tract,0.55
751,2014,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.5
752,2014,DRG,Diseases & Disorders Of The Respiratory System,2.69
753,2014,DRG,Diseases & Disorders Of The Nervous System,0.77
754,2014,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.24
755,2014,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,1.25
756,2014,DRG,Diseases & Disorders Of The Male Reproductive System,0.1
757,2014,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.5
758,2014,DRG,Diseases & Disorders Of The Female Reproductive System,0.62
759,2014,DRG,Diseases & Disorders Of The Eye,0.04
760,2014,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.37
761,2014,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.51
762,2014,DRG,Diseases & Disorders Of The Digestive System,1.45
763,2014,DRG,Diseases & Disorders Of The Circulatory System,2.13
764,2014,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.24
765,2014,DRG,Childbirth,2.6
766,2014,DRG,Alcohol/Drug Abuse & Dependence,0.04
767,2014,Drug,Various,0.22
768,2014,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.27
769,2014,Drug,Sensory organs,0.19
770,2014,Drug,Respiratory system,1.38
771,2014,Drug,Nervous system,0.72
772,2014,Drug,,4.83
773,2014,Drug,Musculo-skeletal system,0.73
774,2014,Drug,Genito-urinary system and sex hormones,0.37
775,2014,Drug,Dermatologicals,0.41
776,2014,Drug,Cardiovascular system,2.22
777,2014,Drug,Blood and blood forming organs,1.82
778,2014,Drug,"Antiparasitic products, insecticides and repellents",0.03
779,2014,Drug,Antineoplastic and immunomodulating agents,2.49
780,2014,Drug,Antiinfectives for systemic use,1.9
781,2014,Drug,Alimentary tract and metabolism,3.71
782,2014,HCPCS,Vision Services,0.02
783,2014,HCPCS,Transport Services Including Ambulance,1.5
784,2014,HCPCS,Temporary Procedures/Professional Services,0.0
785,2014,HCPCS,Temporary National Codes Established Medicaid,0.09
786,2014,HCPCS,Temporary National Codes Established by Private Payers,0.02
787,2014,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.03
788,2014,HCPCS,Temporary Codes Assigned by CMS,0.02
789,2014,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.02
790,2014,HCPCS,Prosthetics,0.05
791,2014,HCPCS,Orthotics,0.14
792,2014,HCPCS,Medical and Surgical Supplies,0.84
793,2014,HCPCS,Laboratory Services,0.0
794,2014,HCPCS,Helmets,0.0
795,2014,HCPCS,Hearing Services,0.3
796,2014,HCPCS,Gradient Compression Stockings,0.0
797,2014,HCPCS,Enteral and Parenteral Therapy,0.23
798,2014,HCPCS,Durable Medical Equipment,0.65
799,2014,HCPCS,Drugs Other Than Chemotherapy,0.0
800,2014,HCPCS,CMS Hospital Outpatient Payment System,0.23
801,2014,HCPCS,Chemotherapy Drugs,0.0
802,2014,HCPCS,"Administrative, Miscellaneous and Investigational",0.08
803,2014,,,0.0
804,2014,Service,Tele-consultation resulting in Self Care,0.0
805,2014,Service,Tele-consultation resulting in Referral,0.0
806,2014,Service,Tele-consultation resulting in Emergency Management,0.0
807,2014,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.0
808,2014,Service,Special Care Baby Unit (SCBU),0.0
809,2014,Service,Short Stay Room - Hourly Rate,0.0
810,2014,Service,Short Stay  Room - Daily Rate,0.0
811,2014,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.0
812,2014,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.0
813,2014,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - Royal Suite,0.0
814,2014,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.0
815,2014,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.0
816,2014,Service,Room and Board: Ward,0.0
817,2014,Service,Room and Board:  VIP Room,0.0
818,2014,Service,Room and Board:  Suite,0.0
819,2014,Service,Room and Board: Shared Room,0.0
820,2014,Service,Room and Board: Royal Suite,0.0
821,2014,Service,Room and Board: Isolation Room,0.0
822,2014,Service,Room and Board: First Class Room,0.0
823,2014,Service,Recovery Room  - Hourly Rate,0.0
